
,Acanthostega,r.raw.nh-furniture-acanthostega,2000,0,
,Amber,r.raw.nh-furniture-amber,1200,0,
,Ammonite,r.raw.nh-furniture-ammonite,1100,0,
,Anomalocaris,r.raw.nh-furniture-anomalocaris,2000,0,
,Archaeopteryx,r.raw.nh-furniture-archaeopteryx,1300,0,
,Australopith,r.raw.nh-furniture-australopith,1100,0,
,Coprolite,r.raw.nh-furniture-coprolite,1100,0,
,Dinosaur track,r.raw.nh-furniture-dinosaurtrack,1000,0,
,Dunkleosteus,r.raw.nh-furniture-dunkleosteus,3500,0,
,Eusthenopteron,r.raw.nh-furniture-eusthenopteron,2000,0,
,Juramaia,r.raw.nh-furniture-juramaia,1000,0,
,Myllokunmingia,r.raw.nh-furniture-myllokunmingia,1500,0,
,Shark-tooth pattern,r.raw.nh-furniture-sharktoothpattern,1000,0,
,Trilobite,r.raw.nh-furniture-trilobite,1300,0,


Ankylosaurus
,Ankylo skull,R.raw.nh-furniture-ankyloskull.png,5000,0,
,Ankylo torso,R.raw.nh-furniture-ankylotorso.png,3000,0,
,Ankylo tail,R.raw.nh-furniture-ankylotail.png,2500,0,

Archelon
,Archelon skull,R.raw.nh-furniture-archelonskull.png,4000,0,
,Archelon tail,R.raw.nh-furniture-archelontail.png,3500,0,

Brachiosaurus
,Brachio skull,R.raw.nh-furniture-brachioskull.png,6000,0,
,Brachio chest,R.raw.nh-furniture-brachiochest.png,5500,0,
,Brachio pelvis,R.raw.nh-furniture-brachiopelvis.png,5000,0,
,Brachio tail,R.raw.nh-furniture-brachiotail.png,5500,0,

Deinonychus
,Deinony torso,R.raw.nh-furniture-deinonytorso.png,3000,0,
,Deinony tail,R.raw.nh-furniture-deinonytail.png,2500,0,

Dimetrodon
,Dimetrodon skull,R.raw.nh-furniture-dimetrodonskull.png,5500,0,
,Dimetrodon torso,R.raw.nh-furniture-dimetrodontorso.png,5000,0,

Diplodocus
,Diplo skull,R.raw.nh-furniture-diploskull.png,5000,0,
,Diplo neck,R.raw.nh-furniture-diploneck.png,4500,0,
,Diplo chest,R.raw.nh-furniture-diplochest.png,4000,0,
,Diplo pelvis,R.raw.nh-furniture-diplopelvis.png,4500,0,
,Diplo tail,R.raw.nh-furniture-diplotail.png,5000,0,
,Diplo tail tip,R.raw.nh-furniture-diplotailtip.png,4000,0,

Iguanodon
,Iguanodon skull,R.raw.nh-furniture-iguanodonskull.png,4000,0,
,Iguanodon torso,R.raw.nh-furniture-iguanodontorso.png,3500,0,
,Iguanodon tail,R.raw.nh-furniture-iguanodontail.png,3000,0,

Mammoth
,Mammoth skull,R.raw.nh-furniture-mammothskull.png,3000,0,
,Mammoth torso,R.raw.nh-furniture-mammothtorso.png,2500,0,

Megacerops
,Megacero skull,R.raw.nh-furniture-megaceroskull.png,4500,0,
,Megacero torso,R.raw.nh-furniture-megacerotorso.png,3500,0,
,Megacero tail,R.raw.nh-furniture-megacerotail.png,3000,0,

Megaloceros
,Left megalo side,R.raw.nh-furniture-leftmegaloside.png,4000,0,
,Right megalo side,R.raw.nh-furniture-rightmegaloside.png,5500,0,

Ophthalmosaurus
,Ophthalmo skull,R.raw.nh-furniture-ophthalmoskull.png,2500,0,
,Ophthalmo torso,R.raw.nh-furniture-ophthalmotorso.png,2000,0,

Pachycephalosaurus
,Pachysaurus skull,R.raw.nh-furniture-pachysaurusskull.png,4000,0,
,Pachysaurus tail,R.raw.nh-furniture-pachysaurustail.png,3500,0,

Parasaur
,Parasaur skull,R.raw.nh-furniture-parasaurskull.png,3500,0,
,Parasaur torso,R.raw.nh-furniture-parasaurtorso.png,3000,0,
,Parasaur tail,R.raw.nh-furniture-parasaurtail.png,2500,0,

Plesiosaur
,Plesio skull,R.raw.nh-furniture-plesioskull.png,4000,0,
,Plesio tail,R.raw.nh-furniture-plesioneck.png,4500,0,
,Plesio body,R.raw.nh-furniture-plesiobody.png,4500,0,

Pteranodon
,Right ptera wing,R.raw.nh-furniture-rightpterawing.png,4500,0,
,Ptera body,R.raw.nh-furniture-pterabody.png,4000,0,
,Left ptera wing,R.raw.nh-furniture-leftpterawing.png,4500,0,

Quetzalcoatlus
,Right quetzal wing,R.raw.nh-furniture-rightquetzalwing.png,5000,0,
,Quetzal torso,R.raw.nh-furniture-quetzaltorso.png,4500,0,
,Left quetzal wing,R.raw.nh-furniture-leftquetzalwing.png,5000,0,

Sabertooth tiger
,Sabertooth skull,R.raw.nh-furniture-sabertoothskull.png,2500,0,
,Sabertooth tail,R.raw.nh-furniture-sabertoothtail.png,2000,0,

Spinosaurus
,Spino skull,R.raw.nh-furniture-spinoskull.png,4000,0,
,Spino torso,R.raw.nh-furniture-spinotorso.png,5000,0,
,Spino tail,R.raw.nh-furniture-spinotail.png,4000,0,

Stegosaur
,Stego skull,R.raw.nh-furniture-stegoskull.png,5000,0,
,Stego torso,R.raw.nh-furniture-stegotorso.png,4500,0,
,Stego tail,R.raw.nh-furniture-stegotail.png,4000,0,

Triceratops
,Tricera skull,R.raw.nh-furniture-triceraskull.png,5500,0,
,Tricera torso,R.raw.nh-furniture-triceratorso.png,5000,0,
,Tricera tail,R.raw.nh-furniture-triceratail.png,4500,0,

Tyrannosaurus rex
,T. rex skull,R.raw.nh-furniture-trexskull.png,6000,0,
,T. rex torso,R.raw.nh-furniture-trextorso.png,5500,0,
,T. rex tail,R.raw.nh-furniture-trextail.png,5000,0,
